Zhejiang University;2011;win;
University of Michigan at Ann Arbor;2011;gold;
Tsinghua University;2011;gold;
St. Petersburg State University;2011;gold;
Nizhny Novgorod State University;2011;silver;
Saratov State University;2011;silver;
Friedrich-Alexander-University Erlangen-Nuremberg;2011;silver;
Donetsk National University;2011;silver;
Jagiellonian University in Krakow;2011;bronze;
Moscow State University;2011;bronze;
Ural State University;2011;bronze;
University of Waterloo;2011;bronze;
St. Petersburg National Research University of IT, Mechanics and Optics;2012;win;
University of Warsaw;2012;gold;
Moscow Institute of Physics & Technology;2012;gold;
Shanghai Jiao Tong University;2012;gold;
Belarusian State University;2012;silver;
Zhongshan (Sun Yat-sen) University;2012;silver;
Harvard University;2012;silver;
The Chinese University of Hong Kong;2012;silver;
University of Waterloo;2012;bronze;
Moscow State University;2012;bronze;
The University of Tokyo;2012;bronze;
Belarus State University of Informatics and Radioelectronics;2012;bronze;
St. Petersburg National Research University of IT, Mechanics and Optics;2013;win;
Shanghai Jiao Tong University;2013;gold;
The University of Tokyo;2013;gold;
National Taiwan University;2013;gold;
St. Petersburg State University;2013;silver;
University of Warsaw;2013;silver;
Taras Shevchenko Kiev National University;2013;silver;
Belarusian State University;2013;silver;
Jagiellonian University in Krakow;2013;bronze;
Moscow State University;2013;bronze;
Carnegie Mellon University;2013;bronze;
Tsinghua University;2013;bronze;
Perm State University;2013;bronze;
St. Petersburg State University;2014;win;
Moscow State University;2014;gold;
Peking University;2014;gold;
National Taiwan University;2014;gold;
University of Warsaw;2014;silver;
Shanghai Jiao Tong University;2014;silver;
The University of Tokyo;2014;silver;
University of Zagreb;2014;silver;
St. Petersburg National Research University of IT, Mechanics and Optics;2014;bronze;
National Research University Higher School of Economics;2014;bronze;
Tsinghua University;2014;bronze;
Comenius University;2014;bronze;
St. Petersburg National Research University of IT, Mechanics and Optics;2015;win;
Moscow State University;2015;gold;
The University of Tokyo;2015;gold;
Tsinghua University;2015;gold;
Peking University;2015;silver;
University of California at Berkeley;2015;silver;
University of Zagreb;2015;silver;
Charles University in Prague;2015;silver;
Shanghai Jiao Tong University;2015;bronze;
Massachusetts Institute of Technology;2015;bronze;
Korea University;2015;bronze;
University of Warsaw;2015;bronze;
St. Petersburg State University;2016;win;
Shanghai Jiao Tong University;2016;gold;
Harvard University;2016;gold;
Moscow Institute of Physics & Technology;2016;gold;
University of Warsaw;2016;silver;
Massachusetts Institute of Technology;2016;silver;
St. Petersburg ITMO University;2016;silver;
Ural Federal University;2016;silver;
University of Wroclaw;2016;bronze;
Nizhny Novgorod State University;2016;bronze;
Lviv National University;2016;bronze;
Fudan University;2016;bronze;
University of Waterloo;2016;bronze;
